lon_min, lon_max, lat_min, lat_max, depth_min, depth_max, m_min, m_max, rate, dispersion, mask
165.7,165.8,-46.2,-46.1,0.0,40.0,5.0,10.5,2.7757678899218628e-04,0.000000,1
165.8,165.9,-46.3,-46.2,0.0,40.0,5.0,10.5,3.1873836606707319e-04,0.000000,1
165.8,165.9,-46.2,-46.1,0.0,40.0,5.0,10.5,3.0568947450020930e-04,0.000000,1
165.8,165.9,-46.1,-46.0,0.0,40.0,5.0,10.5,2.9465548530764049e-04,0.000000,1
165.8,165.9,-46.0,-45.9,0.0,40.0,5.0,10.5,2.7863221404538852e-04,0.000000,1
165.8,165.9,-45.9,-45.8,0.0,40.0,5.0,10.5,2.9398385118287548e-04,0.000000,1
165.8,165.9,-45.8,-45.7,0.0,40.0,5.0,10.5,2.6337652464001080e-04,0.000000,1
165.8,165.9,-45.7,-45.6,0.0,40.0,5.0,10.5,2.0849442187349489e-04,0.000000,1
165.8,165.9,-45.6,-45.5,0.0,40.0,5.0,10.5,1.8153310915078338e-04,0.000000,1
165.9,166.0,-46.4,-46.3,0.0,40.0,5.0,10.5,3.0281104253693041e-04,0.000000,1
165.9,166.0,-46.3,-46.2,0.0,40.0,5.0,10.5,3.2746960968901888e-04,0.000000,1
165.9,166.0,-46.2,-46.1,0.0,40.0,5.0,10.5,3.3082778031284419e-04,0.000000,1
165.9,166.0,-46.1,-46.0,0.0,40.0,5.0,10.5,3.0770437687450443e-04,0.000000,1
165.9,166.0,-46.0,-45.9,0.0,40.0,5.0,10.5,2.7623352074265616e-04,0.000000,1
165.9,166.0,-45.9,-45.8,0.0,40.0,5.0,10.5,2.7920790043804429e-04,0.000000,1
165.9,166.0,-45.8,-45.7,0.0,40.0,5.0,10.5,2.8659587581045986e-04,0.000000,1
165.9,166.0,-45.7,-45.6,0.0,40.0,5.0,10.5,2.5781155617767178e-04,0.000000,1
165.9,166.0,-45.6,-45.5,0.0,40.0,5.0,10.5,2.2672449097426068e-04,0.000000,1
165.9,166.0,-45.5,-45.4,0.0,40.0,5.0,10.5,2.1674592683489411e-04,0.000000,1
166.0,166.1,-46.5,-46.4,0.0,40.0,5.0,10.5,2.5157495359056774e-04,0.000000,1
166.0,166.1,-46.4,-46.3,0.0,40.0,5.0,10.5,2.7978358683070000e-04,0.000000,1
166.0,166.1,-46.3,-46.2,0.0,40.0,5.0,10.5,3.2075326844136837e-04,0.000000,1
166.0,166.1,-46.2,-46.1,0.0,40.0,5.0,10.5,3.5989994314196015e-04,0.000000,1
166.0,166.1,-46.1,-46.0,0.0,40.0,5.0,10.5,3.3130751897339066e-04,0.000000,1
166.0,166.1,-46.0,-45.9,0.0,40.0,5.0,10.5,2.8486881663249256e-04,0.000000,1
166.0,166.1,-45.9,-45.8,0.0,40.0,5.0,10.5,2.6491168835375946e-04,0.000000,1
166.0,166.1,-45.8,-45.7,0.0,40.0,5.0,10.5,2.8227822786554166e-04,0.000000,1
166.0,166.1,-45.7,-45.6,0.0,40.0,5.0,10.5,2.9830149912779368e-04,0.000000,1
166.0,166.1,-45.6,-45.5,0.0,40.0,5.0,10.5,2.8525260756092979e-04,0.000000,1
166.0,166.1,-45.5,-45.4,0.0,40.0,5.0,10.5,2.8822698725631781e-04,0.000000,1
166.0,166.1,-45.4,-45.3,0.0,40.0,5.0,10.5,2.5800345164189031e-04,0.000000,1
166.1,166.2,-46.6,-46.5,0.0,40.0,5.0,10.5,2.0676736269552762e-04,0.000000,1
166.1,166.2,-46.5,-46.4,0.0,40.0,5.0,10.5,2.2202305210090525e-04,0.000000,1
166.1,166.2,-46.4,-46.3,0.0,40.0,5.0,10.5,2.5061547626947480e-04,0.000000,1
166.1,166.2,-46.3,-46.2,0.0,40.0,5.0,10.5,2.8918646457741081e-04,0.000000,1
166.1,166.2,-46.2,-46.1,0.0,40.0,5.0,10.5,3.2852503474222107e-04,0.000000,1
166.1,166.2,-46.1,-46.0,0.0,40.0,5.0,10.5,3.4550778332556608e-04,0.000000,1
166.1,166.2,-46.0,-45.9,0.0,40.0,5.0,10.5,3.1077470430200185e-04,0.000000,1
166.1,166.2,-45.9,-45.8,0.0,40.0,5.0,10.5,2.6308868144368292e-04,0.000000,1
166.1,166.2,-45.8,-45.7,0.0,40.0,5.0,10.5,2.7191587279773791e-04,0.000000,1
166.1,166.2,-45.7,-45.6,0.0,40.0,5.0,10.5,3.0904764512403455e-04,0.000000,1
166.1,166.2,-45.6,-45.5,0.0,40.0,5.0,10.5,3.3783196475682258e-04,0.000000,1
166.1,166.2,-45.5,-45.4,0.0,40.0,5.0,10.5,3.5596608612547913e-04,0.000000,1
166.1,166.2,-45.4,-45.3,0.0,40.0,5.0,10.5,3.0914359285614390e-04,0.000000,1
166.1,166.2,-45.3,-45.2,0.0,40.0,5.0,10.5,3.0070019243052599e-04,0.000000,1
166.2,166.3,-46.7,-46.6,0.0,40.0,5.0,10.5,1.6685310613806151e-04,0.000000,1
