lon_min, lon_max, lat_min, lat_max, depth_min, depth_max, m_min, m_max, rate, dispersion, mask
165.7,165.8,-46.2,-46.1,0.0,40.0,5.0,10.5,2.9907570838753282e-04,0.000000,1
165.8,165.9,-46.3,-46.2,0.0,40.0,5.0,10.5,2.9916850258808741e-04,0.000000,1
165.8,165.9,-46.2,-46.1,0.0,40.0,5.0,10.5,3.0946865884964999e-04,0.000000,1
165.8,165.9,-46.1,-46.0,0.0,40.0,5.0,10.5,3.7396062823510928e-04,0.000000,1
165.8,165.9,-46.0,-45.9,0.0,40.0,5.0,10.5,3.9205549734325977e-04,0.000000,1
165.8,165.9,-45.9,-45.8,0.0,40.0,5.0,10.5,4.0950080704752791e-04,0.000000,1
165.8,165.9,-45.8,-45.7,0.0,40.0,5.0,10.5,3.5864958514359742e-04,0.000000,1
165.8,165.9,-45.7,-45.6,0.0,40.0,5.0,10.5,2.8608452030988636e-04,0.000000,1
165.8,165.9,-45.6,-45.5,0.0,40.0,5.0,10.5,2.5026595889580396e-04,0.000000,1
165.9,166.0,-46.4,-46.3,0.0,40.0,5.0,10.5,2.3430535640040970e-04,0.000000,1
165.9,166.0,-46.3,-46.2,0.0,40.0,5.0,10.5,2.8645569711210488e-04,0.000000,1
165.9,166.0,-46.2,-46.1,0.0,40.0,5.0,10.5,3.2106793391897728e-04,0.000000,1
165.9,166.0,-46.1,-46.0,0.0,40.0,5.0,10.5,3.4723589847537943e-04,0.000000,1
165.9,166.0,-46.0,-45.9,0.0,40.0,5.0,10.5,3.6672268059184920e-04,0.000000,1
165.9,166.0,-45.9,-45.8,0.0,40.0,5.0,10.5,3.9994300439040226e-04,0.000000,1
165.9,166.0,-45.8,-45.7,0.0,40.0,5.0,10.5,4.1423331127581341e-04,0.000000,1
165.9,166.0,-45.7,-45.6,0.0,40.0,5.0,10.5,3.7915710346616795e-04,0.000000,1
165.9,166.0,-45.6,-45.5,0.0,40.0,5.0,10.5,3.4732869267593402e-04,0.000000,1
165.9,166.0,-45.5,-45.4,0.0,40.0,5.0,10.5,3.4250339424709398e-04,0.000000,1
166.0,166.1,-46.5,-46.4,0.0,40.0,5.0,10.5,1.4123277324412816e-04,0.000000,1
166.0,166.1,-46.4,-46.3,0.0,40.0,5.0,10.5,1.9384708495859639e-04,0.000000,1
166.0,166.1,-46.3,-46.2,0.0,40.0,5.0,10.5,2.5388493271743395e-04,0.000000,1
166.0,166.1,-46.2,-46.1,0.0,40.0,5.0,10.5,3.4231780584598475e-04,0.000000,1
166.0,166.1,-46.1,-46.0,0.0,40.0,5.0,10.5,3.5484502292085809e-04,0.000000,1
166.0,166.1,-46.0,-45.9,0.0,40.0,5.0,10.5,3.6366047197354670e-04,0.000000,1
166.0,166.1,-45.9,-45.8,0.0,40.0,5.0,10.5,3.7887872086450408e-04,0.000000,1
166.0,166.1,-45.8,-45.7,0.0,40.0,5.0,10.5,4.2870920656233374e-04,0.000000,1
166.0,166.1,-45.7,-45.6,0.0,40.0,5.0,10.5,4.6879630120192864e-04,0.000000,1
166.0,166.1,-45.6,-45.5,0.0,40.0,5.0,10.5,4.8828308331839835e-04,0.000000,1
166.0,166.1,-45.5,-45.4,0.0,40.0,5.0,10.5,5.4516592825837903e-04,0.000000,1
166.0,166.1,-45.4,-45.3,0.0,40.0,5.0,10.5,4.3724627301335858e-04,0.000000,1
166.1,166.2,-46.6,-46.5,0.0,40.0,5.0,10.5,1.2044687231989377e-04,0.000000,1
166.1,166.2,-46.5,-46.4,0.0,40.0,5.0,10.5,1.2128202012488534e-04,0.000000,1
166.1,166.2,-46.4,-46.3,0.0,40.0,5.0,10.5,1.6628720739387488e-04,0.000000,1
166.1,166.2,-46.3,-46.2,0.0,40.0,5.0,10.5,2.1277710187173838e-04,0.000000,1
166.1,166.2,-46.2,-46.1,0.0,40.0,5.0,10.5,2.8682687391432329e-04,0.000000,1
166.1,166.2,-46.1,-46.0,0.0,40.0,5.0,10.5,3.7062003701514307e-04,0.000000,1
166.1,166.2,-46.0,-45.9,0.0,40.0,5.0,10.5,3.9159152634048671e-04,0.000000,1
166.1,166.2,-45.9,-45.8,0.0,40.0,5.0,10.5,3.6570194438574838e-04,0.000000,1
166.1,166.2,-45.8,-45.7,0.0,40.0,5.0,10.5,4.2007934591075432e-04,0.000000,1
166.1,166.2,-45.7,-45.6,0.0,40.0,5.0,10.5,5.1380148847091816e-04,0.000000,1
166.1,166.2,-45.6,-45.5,0.0,40.0,5.0,10.5,6.1754540469098076e-04,0.000000,1
166.1,166.2,-45.5,-45.4,0.0,40.0,5.0,10.5,7.3465168579090834e-04,0.000000,1
166.1,166.2,-45.4,-45.3,0.0,40.0,5.0,10.5,5.5611564392382391e-04,0.000000,1
166.1,166.2,-45.3,-45.2,0.0,40.0,5.0,10.5,5.1176001605871663e-04,0.000000,1
166.2,166.3,-46.7,-46.6,0.0,40.0,5.0,10.5,9.7433910582348578e-05,0.000000,1
166.2,166.3,-46.6,-46.5,0.0,40.0,5.0,10.5,9.9846559796768652e-05,0.000000,1
166.2,166.3,-46.5,-46.4,0.0,40.0,5.0,10.5,1.2666408375705318e-04,0.000000,1
166.2,166.3,-46.4,-46.3,0.0,40.0,5.0,10.5,1.4689321947795980e-04,0.000000,1
166.2,166.3,-46.3,-46.2,0.0,40.0,5.0,10.5,1.7770089406209290e-04,0.000000,1
166.2,166.3,-46.2,-46.1,0.0,40.0,5.0,10.5,2.2929446957046032e-04,0.000000,1
166.2,166.3,-46.1,-46.0,0.0,40.0,5.0,10.5,3.3257441478774975e-04,0.000000,1
166.2,166.3,-46.0,-45.9,0.0,40.0,5.0,10.5,3.7154797902068924e-04,0.000000,1
