lon_min, lon_max, lat_min, lat_max, depth_min, depth_max, m_min, m_max, rate, dispersion, mask
165.7,165.8,-46.2,-46.1,0.0,40.0,5.0,10.5,2.9097679860310083e-04,0.000000,1
165.8,165.9,-46.3,-46.2,0.0,40.0,5.0,10.5,3.0848793994330752e-04,0.000000,1
165.8,165.9,-46.2,-46.1,0.0,40.0,5.0,10.5,2.9885681220619375e-04,0.000000,1
165.8,165.9,-46.1,-46.0,0.0,40.0,5.0,10.5,3.1948104534021502e-04,0.000000,1
165.8,165.9,-46.0,-45.9,0.0,40.0,5.0,10.5,3.4409392733506102e-04,0.000000,1
165.8,165.9,-45.9,-45.8,0.0,40.0,5.0,10.5,4.0129698904640287e-04,0.000000,1
165.8,165.9,-45.8,-45.7,0.0,40.0,5.0,10.5,3.9808661313403163e-04,0.000000,1
165.8,165.9,-45.7,-45.6,0.0,40.0,5.0,10.5,3.4487220028351468e-04,0.000000,1
165.8,165.9,-45.6,-45.5,0.0,40.0,5.0,10.5,3.1568696471650359e-04,0.000000,1
165.9,166.0,-46.4,-46.3,0.0,40.0,5.0,10.5,2.7268738431444049e-04,0.000000,1
165.9,166.0,-46.3,-46.2,0.0,40.0,5.0,10.5,3.0440200696392591e-04,0.000000,1
165.9,166.0,-46.2,-46.1,0.0,40.0,5.0,10.5,3.1062819055155497e-04,0.000000,1
165.9,166.0,-46.1,-46.0,0.0,40.0,5.0,10.5,3.0809880346908069e-04,0.000000,1
165.9,166.0,-46.0,-45.9,0.0,40.0,5.0,10.5,3.1957832945877178e-04,0.000000,1
165.9,166.0,-45.9,-45.8,0.0,40.0,5.0,10.5,3.6685841107732975e-04,0.000000,1
165.9,166.0,-45.8,-45.7,0.0,40.0,5.0,10.5,4.1851627803093938e-04,0.000000,1
165.9,166.0,-45.7,-45.6,0.0,40.0,5.0,10.5,4.0528563790722771e-04,0.000000,1
165.9,166.0,-45.6,-45.5,0.0,40.0,5.0,10.5,3.6860952521135037e-04,0.000000,1
165.9,166.0,-45.5,-45.4,0.0,40.0,5.0,10.5,3.6053494337114403e-04,0.000000,1
166.0,166.1,-46.5,-46.4,0.0,40.0,5.0,10.5,1.7910006226289153e-04,0.000000,1
166.0,166.1,-46.4,-46.3,0.0,40.0,5.0,10.5,2.4651795642268722e-04,0.000000,1
166.0,166.1,-46.3,-46.2,0.0,40.0,5.0,10.5,2.8572345620103879e-04,0.000000,1
166.0,166.1,-46.2,-46.1,0.0,40.0,5.0,10.5,3.3212798075258650e-04,0.000000,1
166.0,166.1,-46.1,-46.0,0.0,40.0,5.0,10.5,3.1743807885052427e-04,0.000000,1
166.0,166.1,-46.0,-45.9,0.0,40.0,5.0,10.5,3.1267115704124577e-04,0.000000,1
166.0,166.1,-45.9,-45.8,0.0,40.0,5.0,10.5,3.3378181076805047e-04,0.000000,1
166.0,166.1,-45.8,-45.7,0.0,40.0,5.0,10.5,3.9477895310310369e-04,0.000000,1
166.0,166.1,-45.7,-45.6,0.0,40.0,5.0,10.5,4.4565854710825972e-04,0.000000,1
166.0,166.1,-45.6,-45.5,0.0,40.0,5.0,10.5,4.3301161169588824e-04,0.000000,1
166.0,166.1,-45.5,-45.4,0.0,40.0,5.0,10.5,4.3875137469073376e-04,0.000000,1
166.0,166.1,-45.4,-45.3,0.0,40.0,5.0,10.5,4.0324267141753691e-04,0.000000,1
166.1,166.2,-46.6,-46.5,0.0,40.0,5.0,10.5,1.6976078688144800e-04,0.000000,1
166.1,166.2,-46.5,-46.4,0.0,40.0,5.0,10.5,1.6489658095361281e-04,0.000000,1
166.1,166.2,-46.4,-46.3,0.0,40.0,5.0,10.5,2.2453174562887219e-04,0.000000,1
166.1,166.2,-46.3,-46.2,0.0,40.0,5.0,10.5,2.5663550475258436e-04,0.000000,1
166.1,166.2,-46.2,-46.1,0.0,40.0,5.0,10.5,3.0002422162887430e-04,0.000000,1
166.1,166.2,-46.1,-46.0,0.0,40.0,5.0,10.5,3.3553292490207109e-04,0.000000,1
166.1,166.2,-46.0,-45.9,0.0,40.0,5.0,10.5,3.2862575248454519e-04,0.000000,1
166.1,166.2,-45.9,-45.8,0.0,40.0,5.0,10.5,3.1549239647939018e-04,0.000000,1
166.1,166.2,-45.8,-45.7,0.0,40.0,5.0,10.5,3.6102136396392752e-04,0.000000,1
166.1,166.2,-45.7,-45.6,0.0,40.0,5.0,10.5,4.4050248882475444e-04,0.000000,1
166.1,166.2,-45.6,-45.5,0.0,40.0,5.0,10.5,4.8573960395362171e-04,0.000000,1
