lon_min, lon_max, lat_min, lat_max, depth_min, depth_max, m_min, m_max, rate, dispersion, mask
165.7,165.8,-46.2,-46.1,0.0,40.0,5.0,10.5,2.9845764710470025e-04,0.000000,1
165.8,165.9,-46.3,-46.2,0.0,40.0,5.0,10.5,2.9855024953942088e-04,0.000000,1
165.8,165.9,-46.2,-46.1,0.0,40.0,5.0,10.5,3.0882911979341466e-04,0.000000,1
165.8,165.9,-46.1,-46.0,0.0,40.0,5.0,10.5,3.7318781192427616e-04,0.000000,1
165.8,165.9,-46.0,-45.9,0.0,40.0,5.0,10.5,3.9124528669480567e-04,0.000000,1
165.8,165.9,-45.9,-45.8,0.0,40.0,5.0,10.5,4.0865454442229050e-04,0.000000,1
165.8,165.9,-45.8,-45.7,0.0,40.0,5.0,10.5,3.5790841019536660e-04,0.000000,1
165.8,165.9,-45.7,-45.6,0.0,40.0,5.0,10.5,2.8549330624380728e-04,0.000000,1
165.8,165.9,-45.6,-45.5,0.0,40.0,5.0,10.5,2.4974876644163091e-04,0.000000,1
165.9,166.0,-46.4,-46.3,0.0,40.0,5.0,10.5,2.3382114766967678e-04,0.000000,1
165.9,166.0,-46.3,-46.2,0.0,40.0,5.0,10.5,2.8586371598268994e-04,0.000000,1
165.9,166.0,-46.2,-46.1,0.0,40.0,5.0,10.5,3.2040442413349768e-04,0.000000,1
165.9,166.0,-46.1,-46.0,0.0,40.0,5.0,10.5,3.4651831072472490e-04,0.000000,1
165.9,166.0,-46.0,-45.9,0.0,40.0,5.0,10.5,3.6596482201606441e-04,0.000000,1
165.9,166.0,-45.9,-45.8,0.0,40.0,5.0,10.5,3.9911649364606210e-04,0.000000,1
165.9,166.0,-45.8,-45.7,0.0,40.0,5.0,10.5,4.1337726859304438e-04,0.000000,1
165.9,166.0,-45.7,-45.6,0.0,40.0,5.0,10.5,3.7837354826863339e-04,0.000000,1
165.9,166.0,-45.6,-45.5,0.0,40.0,5.0,10.5,3.4661091315944554e-04,0.000000,1
